first_player,,,DeepMCTS,DeepMCTS,RolloutMCTS,RolloutMCTS
score_player,,,DeepMCTS,RolloutMCTS,DeepMCTS,RolloutMCTS
board_size,bmcts_sim,match,,,,
Vortex_5,1000,49,1,0,1,0
Vortex_5,1000,50,0,1,1,0
Vortex_5,1000,51,1,0,0,1
Vortex_5,1000,52,1,0,1,0
Vortex_5,1000,53,1,0,1,0
Vortex_5,1000,54,1,0,1,0
Vortex_5,1000,55,1,0,0,1
Vortex_5,1000,56,1,0,0,1
Vortex_5,1000,57,1,0,0,1
Vortex_5,1000,58,1,0,1,0
Vortex_5,1000,59,1,0,0,1
Vortex_5,1000,60,1,0,1,0
Vortex_5,1000,61,1,0,0,1
Vortex_5,1000,62,1,0,1,0
Vortex_5,1000,63,1,0,1,0
Vortex_5,1000,64,1,0,0,1
Vortex_5,1000,65,1,0,0,1
Vortex_5,1000,66,1,0,1,0
Vortex_5,1000,67,1,0,1,0
Vortex_5,1000,68,1,0,1,0
Vortex_5,1000,69,0,1,1,0
Vortex_5,1000,70,0,1,0,1
Vortex_5,1000,71,1,0,1,0
Vortex_5,1000,72,1,0,1,0
Vortex_5,1000,73,1,0,1,0
Vortex_5,1000,74,1,0,1,0
Vortex_5,1000,75,1,0,1,0
Vortex_5,1000,76,1,0,0,1
Vortex_5,1000,77,1,0,1,0
Vortex_5,1000,78,1,0,0,1
Vortex_5,1000,79,1,0,0,1
Vortex_5,1000,80,1,0,0,1
Vortex_5,1000,81,1,0,1,0
Vortex_5,1000,82,1,0,0,1
Vortex_5,1000,83,1,0,1,0
Vortex_5,1000,84,1,0,1,0
Vortex_5,1000,85,1,0,0,1
Vortex_5,1000,86,1,0,0,1
Vortex_5,1000,87,1,0,1,0
Vortex_5,1000,88,0,1,0,1
Vortex_5,1000,89,1,0,1,0
Vortex_5,1000,90,0,1,1,0
Vortex_5,1000,91,1,0,1,0
Vortex_5,1000,92,1,0,1,0
Vortex_5,1000,93,1,0,1,0
Vortex_5,1000,94,1,0,1,0
Vortex_5,1000,95,1,0,0,1
Vortex_5,1000,96,1,0,1,0
Vortex_5,1000,97,1,0,0,1
Vortex_5,1000,98,1,0,1,0
Vortex_5,1000,99,1,0,0,1
Vortex_6,250,0,1,0,1,0
Vortex_6,250,1,1,0,1,0
Vortex_6,250,2,1,0,0,1
Vortex_6,250,3,1,0,1,0
Vortex_6,250,4,1,0,1,0
Vortex_6,250,5,1,0,1,0
Vortex_6,250,6,1,0,1,0
Vortex_6,250,7,1,0,1,0
Vortex_6,250,8,1,0,1,0
Vortex_6,250,9,1,0,1,0
Vortex_6,250,10,1,0,1,0
Vortex_6,250,11,1,0,1,0
Vortex_6,250,12,1,0,1,0
Vortex_6,250,13,1,0,1,0
Vortex_6,250,14,1,0,1,0
Vortex_6,250,15,1,0,1,0
Vortex_6,250,16,1,0,0,1
Vortex_6,250,17,1,0,1,0
Vortex_6,250,18,1,0,1,0
Vortex_6,250,19,1,0,1,0
Vortex_6,250,20,1,0,1,0
Vortex_6,250,21,1,0,1,0
Vortex_6,250,22,1,0,1,0
Vortex_6,250,23,1,0,1,0
Vortex_6,250,24,1,0,1,0
Vortex_6,250,25,1,0,1,0
Vortex_6,250,26,1,0,1,0
Vortex_6,250,27,1,0,1,0
Vortex_6,250,28,1,0,1,0
Vortex_6,250,29,1,0,1,0
Vortex_6,250,30,1,0,1,0
Vortex_6,250,31,1,0,1,0
Vortex_6,250,32,1,0,1,0
Vortex_6,250,33,1,0,1,0
Vortex_6,250,34,1,0,1,0
Vortex_6,250,35,1,0,1,0
Vortex_6,250,36,1,0,1,0
Vortex_6,250,37,1,0,1,0
Vortex_6,250,38,1,0,1,0
Vortex_6,250,39,1,0,1,0
Vortex_6,250,40,1,0,0,1
Vortex_6,250,41,1,0,1,0
Vortex_6,250,42,1,0,1,0
Vortex_6,250,43,1,0,1,0
Vortex_6,250,44,1,0,1,0
Vortex_6,250,45,1,0,1,0
Vortex_6,250,46,1,0,1,0
Vortex_6,250,47,1,0,1,0
Vortex_6,250,48,1,0,1,0
Vortex_6,250,49,1,0,1,0
Vortex_6,250,50,1,0,1,0
Vortex_6,250,51,1,0,1,0
Vortex_6,250,52,1,0,0,1
Vortex_6,250,53,1,0,1,0
Vortex_6,250,54,1,0,1,0
Vortex_6,250,55,1,0,1,0
Vortex_6,250,56,1,0,1,0
Vortex_6,250,57,1,0,1,0
Vortex_6,250,58,1,0,1,0
Vortex_6,250,59,1,0,1,0
Vortex_6,250,60,1,0,1,0
Vortex_6,250,61,1,0,1,0
Vortex_6,250,62,1,0,1,0
Vortex_6,250,63,1,0,1,0
Vortex_6,250,64,1,0,1,0
Vortex_6,250,65,1,0,1,0
Vortex_6,250,66,1,0,1,0
Vortex_6,250,67,1,0,1,0
Vortex_6,250,68,1,0,1,0
Vortex_6,250,69,1,0,1,0
Vortex_6,250,70,1,0,0,1
Vortex_6,250,71,1,0,1,0
Vortex_6,250,72,1,0,1,0
Vortex_6,250,73,1,0,1,0
Vortex_6,250,74,1,0,1,0
Vortex_6,250,75,1,0,1,0
Vortex_6,250,76,1,0,1,0
Vortex_6,250,77,1,0,1,0
Vortex_6,250,78,1,0,1,0
Vortex_6,250,79,1,0,1,0
Vortex_6,250,80,1,0,1,0
Vortex_6,250,81,1,0,1,0
Vortex_6,250,82,1,0,1,0
Vortex_6,250,83,1,0,1,0
Vortex_6,250,84,1,0,1,0
Vortex_6,250,85,1,0,1,0
Vortex_6,250,86,1,0,1,0
Vortex_6,250,87,1,0,1,0
Vortex_6,250,88,1,0,1,0
Vortex_6,250,89,1,0,1,0
Vortex_6,250,90,1,0,1,0
Vortex_6,250,91,1,0,1,0
Vortex_6,250,92,1,0,1,0
Vortex_6,250,93,1,0,1,0
Vortex_6,250,94,1,0,1,0
Vortex_6,250,95,1,0,1,0
Vortex_6,250,96,1,0,0,1
Vortex_6,250,97,1,0,1,0
Vortex_6,250,98,1,0,1,0
Vortex_6,250,99,1,0,1,0
Vortex_6,500,0,1,0,0,1
Vortex_6,500,1,1,0,1,0
Vortex_6,500,2,1,0,0,1
Vortex_6,500,3,1,0,0,1
Vortex_6,500,4,1,0,0,1
Vortex_6,500,5,1,0,0,1
Vortex_6,500,6,1,0,1,0
Vortex_6,500,7,1,0,1,0
Vortex_6,500,8,1,0,1,0
Vortex_6,500,9,1,0,1,0
Vortex_6,500,10,1,0,1,0
Vortex_6,500,11,1,0,1,0
Vortex_6,500,12,1,0,1,0
Vortex_6,500,13,1,0,0,1
Vortex_6,500,14,1,0,1,0
Vortex_6,500,15,1,0,0,1
Vortex_6,500,16,0,1,0,1
Vortex_6,500,17,1,0,1,0
Vortex_6,500,18,1,0,1,0
Vortex_6,500,19,1,0,1,0
Vortex_6,500,20,1,0,1,0
Vortex_6,500,21,0,1,1,0
Vortex_6,500,22,1,0,1,0
Vortex_6,500,23,1,0,1,0
Vortex_6,500,24,1,0,1,0
Vortex_6,500,25,1,0,0,1
Vortex_6,500,26,1,0,1,0
Vortex_6,500,27,1,0,1,0
Vortex_6,500,28,1,0,1,0
Vortex_6,500,29,1,0,1,0
Vortex_6,500,30,1,0,1,0
Vortex_6,500,31,0,1,1,0
Vortex_6,500,32,1,0,0,1
Vortex_6,500,33,1,0,1,0
Vortex_6,500,34,1,0,1,0
Vortex_6,500,35,1,0,1,0
Vortex_6,500,36,1,0,1,0
Vortex_6,500,37,1,0,1,0
Vortex_6,500,38,1,0,1,0
Vortex_6,500,39,1,0,1,0
Vortex_6,500,40,1,0,1,0
Vortex_6,500,41,1,0,1,0
Vortex_6,500,42,1,0,1,0
Vortex_6,500,43,0,1,1,0
Vortex_6,500,44,1,0,1,0
Vortex_6,500,45,0,1,1,0
Vortex_6,500,46,1,0,1,0
Vortex_6,500,47,0,1,1,0
Vortex_6,500,48,1,0,0,1
Vortex_6,500,49,1,0,1,0
Vortex_6,500,50,1,0,1,0
Vortex_6,500,51,1,0,1,0
Vortex_6,500,52,1,0,1,0
Vortex_6,500,53,1,0,1,0
Vortex_6,500,54,1,0,1,0
Vortex_6,500,55,0,1,0,1
Vortex_6,500,56,1,0,1,0
Vortex_6,500,57,1,0,1,0
Vortex_6,500,58,0,1,1,0
Vortex_6,500,59,1,0,1,0
Vortex_6,500,60,1,0,0,1
Vortex_6,500,61,1,0,1,0
Vortex_6,500,62,1,0,1,0
Vortex_6,500,63,1,0,1,0
Vortex_6,500,64,0,1,1,0
Vortex_6,500,65,0,1,0,1
Vortex_6,500,66,1,0,1,0
Vortex_6,500,67,1,0,1,0
Vortex_6,500,68,1,0,1,0
Vortex_6,500,69,0,1,1,0
Vortex_6,500,70,1,0,1,0
Vortex_6,500,71,1,0,1,0
Vortex_6,500,72,1,0,1,0
Vortex_6,500,73,1,0,1,0
Vortex_6,500,74,1,0,1,0
Vortex_6,500,75,0,1,1,0
Vortex_6,500,76,0,1,1,0
Vortex_6,500,77,1,0,0,1
Vortex_6,500,78,1,0,0,1
Vortex_6,500,79,1,0,1,0
Vortex_6,500,80,1,0,1,0
Vortex_6,500,81,1,0,1,0
Vortex_6,500,82,1,0,1,0
Vortex_6,500,83,1,0,1,0
Vortex_6,500,84,1,0,1,0
Vortex_6,500,85,1,0,1,0
Vortex_6,500,86,1,0,1,0
Vortex_6,500,87,1,0,1,0
Vortex_6,500,88,0,1,1,0
Vortex_6,500,89,1,0,1,0
Vortex_6,500,90,1,0,1,0
Vortex_6,500,91,1,0,1,0
Vortex_6,500,92,1,0,0,1
Vortex_6,500,93,0,1,0,1
Vortex_6,500,94,1,0,1,0
Vortex_6,500,95,1,0,1,0
Vortex_6,500,96,1,0,1,0
Vortex_6,500,97,1,0,1,0
Vortex_6,500,98,1,0,1,0
Vortex_6,500,99,1,0,0,1
Vortex_6,750,0,0,1,1,0
Vortex_6,750,1,0,1,1,0
Vortex_6,750,2,0,1,0,1
Vortex_6,750,3,1,0,1,0
Vortex_6,750,4,1,0,1,0
